大学名
北海道大学
九州大学
岡山大学
名古屋大学
和歌山大学
室蘭工業大学
東北大学
名古屋工業大学
豊橋技術科学大学
秋田大学
福島大学
茨城大学
群馬大学
東京大学
東京工業大学
東京農工大学
電気通信大学
東京都市大学
琉球大学
九州工業大学
高知大学
香川大学
徳島大学
島根大学
京都産業大学
名城大学
富山県立大学
明治大学
山形大学
宮崎大学
富山大学
福井大学
山梨大学
信州大学
三重大学
神戸大学
奈良女子大学
大阪大学
静岡大学
大阪公立大学
山陽小野田私立山口東京理科大学
愛媛大学
長崎大学
工学院大学
広島大学
